index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,accuracy,f1-score
106,1e-05,0.001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.8125,0.7499999999999999,
107,1e-05,0.001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
108,0.0001,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.875,0.8333333333333333,
109,0.0001,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.875,
110,0.0001,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.6875,0.6583333333333333,
111,0.0001,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
112,0.0001,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.8125,0.7916666666666666,
113,0.0001,1e-05,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
114,0.0001,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.875,0.8333333333333333,
115,0.0001,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.8125,0.7916666666666666,
116,0.0001,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.6875,0.6583333333333333,
117,0.0001,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
118,0.0001,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
119,0.0001,1e-05,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
120,0.0001,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.875,0.8333333333333333,
121,0.0001,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.8125,0.7499999999999999,
122,0.0001,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.8125,0.7499999999999999,
123,0.0001,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
124,0.0001,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
125,0.0001,1e-05,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
126,0.0001,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.9375,0.9166666666666666,
127,0.0001,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.8333333333333333,
128,0.0001,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.75,0.7,
129,0.0001,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.875,0.8333333333333333,
130,0.0001,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
131,0.0001,1e-05,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.8125,0.7833333333333333,
132,0.0001,1e-05,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.9375,0.9166666666666666,
133,0.0001,1e-05,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.8333333333333333,
134,0.0001,1e-05,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.75,0.7,
135,0.0001,1e-05,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.875,0.8333333333333333,
136,0.0001,1e-05,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
137,0.0001,1e-05,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.8125,0.7833333333333333,
138,0.0001,1e-05,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.9375,0.9166666666666666,
139,0.0001,1e-05,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.8333333333333333,
140,0.0001,1e-05,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.75,0.7,
141,0.0001,1e-05,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.875,0.8333333333333333,
142,0.0001,1e-05,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
143,0.0001,1e-05,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.8125,0.7833333333333333,
144,0.0001,0.0001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.875,0.8333333333333333,
145,0.0001,0.0001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.875,
146,0.0001,0.0001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.6875,0.6583333333333333,
147,0.0001,0.0001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
148,0.0001,0.0001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.8125,0.7916666666666666,
149,0.0001,0.0001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
150,0.0001,0.0001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.875,0.8333333333333333,
151,0.0001,0.0001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.8125,0.7916666666666666,
152,0.0001,0.0001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.6875,0.6583333333333333,
153,0.0001,0.0001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
154,0.0001,0.0001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
155,0.0001,0.0001,100,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
156,0.0001,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.875,0.8333333333333333,
157,0.0001,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.8125,0.7499999999999999,
158,0.0001,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.8125,0.7499999999999999,
159,0.0001,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
160,0.0001,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
161,0.0001,0.0001,100,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.875,0.8333333333333333,
162,0.0001,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.875,0.8666666666666666,
163,0.0001,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.8333333333333333,
164,0.0001,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.75,0.7,
165,0.0001,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.875,0.8333333333333333,
166,0.0001,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
167,0.0001,0.0001,500,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.8125,0.7833333333333333,
168,0.0001,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.9375,0.9166666666666666,
169,0.0001,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.8333333333333333,
170,0.0001,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.75,0.7,
171,0.0001,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.875,0.8333333333333333,
172,0.0001,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
173,0.0001,0.0001,500,0.5,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.8125,0.7833333333333333,
174,0.0001,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.9375,0.9166666666666666,
175,0.0001,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.8333333333333333,
176,0.0001,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.75,0.7,
177,0.0001,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.875,0.8333333333333333,
178,0.0001,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.875,0.8333333333333333,
179,0.0001,0.0001,500,0.6,cpu,False,False,None,BCEWithLogitsLoss(),64,2,True,0.8125,0.7833333333333333,
180,0.0001,0.001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,1,True,0.875,0.8333333333333333,
181,0.0001,0.001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),16,2,True,0.875,0.875,
182,0.0001,0.001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,1,True,0.6875,0.6583333333333333,
183,0.0001,0.001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),32,2,True,0.8125,0.7833333333333333,
184,0.0001,0.001,100,0.4,cpu,False,False,None,BCEWithLogitsLoss(),64,1,True,0.8125,0.7916666666666666,
