index,lr,weight_decay,epochs,threshold,device,verbose,early_stopping,early_stopping_thresold,criterion,hidden_layer_K,hidden_layer_L,reproducible,mse,mae,rmse,r2,
57,1e-05,0.001,500,None,cpu,False,False,0.5,MSELoss(),32,2,True,15.481699228286743,3.500896394252777,3.8962798714637756,-17.591129958629608,
58,1e-05,0.001,500,None,cpu,False,False,0.5,MSELoss(),64,1,True,10.375426530838013,2.8470519483089447,3.16741406917572,-18.99893993139267,
59,1e-05,0.001,500,None,cpu,False,False,0.5,MSELoss(),64,2,True,17.079489946365356,3.5910207629203796,4.035601794719696,-18.409777998924255,
60,1e-05,0.001,1500,None,cpu,False,True,0.5,MSELoss(),16,1,True,23.801803469657898,3.7498289346694946,4.448260724544525,-17.907097816467285,
61,1e-05,0.001,1500,None,cpu,False,True,0.5,MSELoss(),16,2,True,15.772857189178467,3.670095980167389,3.8956316113471985,-8.779775321483612,
62,1e-05,0.001,1500,None,cpu,False,True,0.5,MSELoss(),32,1,True,19.92823240160942,3.072062224149704,4.052904039621353,-10.37229511141777,
63,1e-05,0.001,1500,None,cpu,False,True,0.5,MSELoss(),32,2,True,15.299302816390991,3.4556543827056885,3.876185715198517,-19.082250893115997,
64,1e-05,0.001,1500,None,cpu,False,True,0.5,MSELoss(),64,1,True,9.611813187599182,2.6613330841064453,3.0601316690444946,-28.97570750117302,
65,1e-05,0.001,1500,None,cpu,False,True,0.5,MSELoss(),64,2,True,17.152697563171387,3.5899853706359863,4.053048491477966,-20.593777179718018,
66,1e-05,0.001,1500,None,cpu,False,False,0.5,MSELoss(),16,1,True,24.710183262825012,3.900032699108124,4.579111099243164,-17.439565420150757,
67,1e-05,0.001,1500,None,cpu,False,False,0.5,MSELoss(),16,2,True,15.772857189178467,3.670095980167389,3.8956316113471985,-8.779775321483612,
68,1e-05,0.001,1500,None,cpu,False,False,0.5,MSELoss(),32,1,True,22.482567071914673,3.20291867852211,4.334064245223999,-3.618025451898575,
